
 The run is 10000 proton of 69 MeV through 20 m   of Cu63 (density: 4.472 g/cm3 )

 Process calls frequency:
	protonInelastic= 10000


 MeanFreePath:	28.4858 cm  +- 28.1737 cm 	massic: 127.389 g/cm2 
 CrossSection:	0.0351052 cm^-1 		massic: 785 um2/mg
 crossSection per atom:	820.302 mbarn 

 Verification: crossSections from G4HadronicProcessStore:
     protonInelastic= 789.496 um2/mg	825 mbarn 
               total= 789.496 um2/mg	825 mbarn 

 List of nuclear reactions: 

  proton + Cu63 --> 2 proton + 2 neutron + deuteron + Co58[35.390]:       1   Q = -42.3286 MeV
                    proton + Cu63 --> 2 proton + Ni62[115.438]:       1   Q = -6.23421 MeV
                    proton + Cu63 --> 2 proton + Ni62[139.214]:       1   Q = -6.25798 MeV
                    proton + Cu63 --> 2 proton + Ni62[166.335]:       1   Q = -6.2851 MeV
                     proton + Cu63 --> 2 proton + Ni62[19.457]:       1   Q = -6.13823 MeV
                    proton + Cu63 --> 2 proton + Ni62[254.201]:       1   Q = -6.37297 MeV
                    proton + Cu63 --> 2 proton + Ni62[265.033]:       1   Q = -6.3838 MeV
                    proton + Cu63 --> 2 proton + Ni62[382.884]:       1   Q = -6.50165 MeV
                    proton + Cu63 --> 2 proton + Ni62[418.950]:       1   Q = -6.53772 MeV
                    proton + Cu63 --> 2 proton + Ni62[431.936]:       1   Q = -6.55071 MeV
                    proton + Cu63 --> 2 proton + Ni62[524.768]:       1   Q = -6.64354 MeV
                    proton + Cu63 --> 2 proton + Ni62[534.040]:       1   Q = -6.65281 MeV
                    proton + Cu63 --> 2 proton + Ni62[538.485]:       1   Q = -6.65725 MeV
                    proton + Cu63 --> 2 proton + Ni62[539.316]:       1   Q = -6.65808 MeV
                    proton + Cu63 --> 2 proton + Ni62[567.575]:       1   Q = -6.68634 MeV
                    proton + Cu63 --> 2 proton + Ni62[579.681]:       1   Q = -6.69845 MeV
              proton + Cu63 --> N gamma or e- + 2 alpha + Fe56:       1   Q = -2.52325 MeV
        proton + Cu63 --> N gamma or e- + 2 alpha + He3 + Cr53:       1   Q = -22.7686 MeV
         proton + Cu63 --> N gamma or e- + 2 alpha + V50 + Li6:       1   Q = -27.984 MeV
   proton + Cu63 --> N gamma or e- + 2 alpha + deuteron + Mn54:       6   Q = -20.706 MeV
     proton + Cu63 --> N gamma or e- + 2 alpha + triton + Mn53:       1   Q = -23.3874 MeV
           proton + Cu63 --> N gamma or e- + 2 deuteron + Ni60:       5   Q = -20.086 MeV
  proton + Cu63 --> N gamma or e- + 2 neutron + 2 alpha + Fe54:      92   Q = -23.0185 MeV
  proton + Cu63 --> N gamma or e- + 2 neutron + 2 deuteron + Ni58:      14   Q = -40.4731 MeV
  proton + Cu63 --> N gamma or e- + 2 neutron + 3 alpha + Cr50:       2   Q = -31.4294 MeV
      proton + Cu63 --> N gamma or e- + 2 neutron + C13 + Cr49:       2   Q = -32.2098 MeV
      proton + Cu63 --> N gamma or e- + 2 neutron + Cr50 + C12:       1   Q = -24.1558 MeV
      proton + Cu63 --> N gamma or e- + 2 neutron + Cr52 + C10:       1   Q = -34.6982 MeV
      proton + Cu63 --> N gamma or e- + 2 neutron + Fe55 + Be7:       1   Q = -32.7113 MeV
      proton + Cu63 --> N gamma or e- + 2 neutron + He3 + Ni59:      41   Q = -28.2041 MeV
      proton + Cu63 --> N gamma or e- + 2 neutron + Li6 + Co56:       2   Q = -32.4731 MeV
      proton + Cu63 --> N gamma or e- + 2 neutron + Li7 + Co55:       2   Q = -35.3039 MeV
      proton + Cu63 --> N gamma or e- + 2 neutron + O17 + Ti45:       1   Q = -34.5953 MeV
            proton + Cu63 --> N gamma or e- + 2 neutron + Zn62:      93   Q = -13.2693 MeV
  proton + Cu63 --> N gamma or e- + 2 neutron + alpha + He3 + Fe55:       6   Q = -34.2977 MeV
    proton + Cu63 --> N gamma or e- + 2 neutron + alpha + Ni58:     241   Q = -16.6261 MeV
  proton + Cu63 --> N gamma or e- + 2 neutron + alpha + deuteron + Co56:     110   Q = -33.9469 MeV
  proton + Cu63 --> N gamma or e- + 2 neutron + alpha + triton + Co55:       9   Q = -37.7714 MeV
  proton + Cu63 --> N gamma or e- + 2 neutron + deuteron + Cu60:      40   Q = -29.2244 MeV
  proton + Cu63 --> N gamma or e- + 2 neutron + deuteron + He3 + Co57:       2   Q = -43.1478 MeV
   proton + Cu63 --> N gamma or e- + 2 neutron + triton + Cu59:       1   Q = -33.0252 MeV
   proton + Cu63 --> N gamma or e- + 2 proton + 2 alpha + Cr54:       4   Q = -20.7679 MeV
  proton + Cu63 --> N gamma or e- + 2 proton + 2 neutron + Ni60:    1154   Q = -24.5348 MeV
  proton + Cu63 --> N gamma or e- + 2 proton + 2 neutron + alpha + Fe56:     143   Q = -30.819 MeV
  proton + Cu63 --> N gamma or e- + 2 proton + 2 neutron + deuteron + Co58:       9   Q = -42.2932 MeV
  proton + Cu63 --> N gamma or e- + 2 proton + 2 neutron + deuteron + Co58[24.950]:      13   Q = -42.3182 MeV
  proton + Cu63 --> N gamma or e- + 2 proton + 2 neutron + triton + Co57:       1   Q = -44.6088 MeV
  proton + Cu63 --> N gamma or e- + 2 proton + 3 neutron + Ni59:     387   Q = -35.9225 MeV
  proton + Cu63 --> N gamma or e- + 2 proton + 3 neutron + alpha + Fe55:       2   Q = -42.0161 MeV
  proton + Cu63 --> N gamma or e- + 2 proton + 4 neutron + Ni58:       9   Q = -44.9218 MeV
             proton + Cu63 --> N gamma or e- + 2 proton + Ni62:     257   Q = -6.11877 MeV
     proton + Cu63 --> N gamma or e- + 2 proton + alpha + Fe58:      16   Q = -13.1283 MeV
  proton + Cu63 --> N gamma or e- + 2 proton + alpha + deuteron + Mn56:       1   Q = -31.5047 MeV
  proton + Cu63 --> N gamma or e- + 2 proton + deuteron + Co60:       7   Q = -24.3474 MeV
  proton + Cu63 --> N gamma or e- + 2 proton + neutron + 2 alpha + Cr53:       6   Q = -30.487 MeV
  proton + Cu63 --> N gamma or e- + 2 proton + neutron + B11 + V50:       1   Q = -40.365 MeV
  proton + Cu63 --> N gamma or e- + 2 proton + neutron + Mn54 + Li7:       1   Q = -40.2769 MeV
  proton + Cu63 --> N gamma or e- + 2 proton + neutron + Mn55 + Li6:       1   Q = -37.3014 MeV
   proton + Cu63 --> N gamma or e- + 2 proton + neutron + Ni61:     724   Q = -16.7146 MeV
  proton + Cu63 --> N gamma or e- + 2 proton + neutron + alpha + Fe57:     108   Q = -23.1729 MeV
  proton + Cu63 --> N gamma or e- + 2 proton + neutron + deuteron + Co59:      48   Q = -31.8393 MeV
  proton + Cu63 --> N gamma or e- + 2 proton + neutron + triton + Co58:       9   Q = -36.0358 MeV
  proton + Cu63 --> N gamma or e- + 2 proton + neutron + triton + Co58[24.950]:       9   Q = -36.0608 MeV
    proton + Cu63 --> N gamma or e- + 2 proton + triton + Co59:       6   Q = -25.582 MeV
              proton + Cu63 --> N gamma or e- + 3 alpha + Cr52:       1   Q = -10.1304 MeV
  proton + Cu63 --> N gamma or e- + 3 neutron + 2 alpha + Fe53:       3   Q = -36.3969 MeV
      proton + Cu63 --> N gamma or e- + 3 neutron + B10 + Mn51:       1   Q = -46.2986 MeV
