
 The run is 10000 proton of 69 MeV through 20 m   of C12 (density: 4.472 g/cm3 )

 Process calls frequency:
	protonInelastic= 10000


 MeanFreePath:	16.8789 cm  +- 16.694 cm 	massic: 75.4825 g/cm2 
 CrossSection:	0.0592455 cm^-1 		massic: 1.32481 mm2/g 
 crossSection per atom:	263.988 mbarn 

 Verification: crossSections from G4HadronicProcessStore:
     protonInelastic= 1.3324 mm2/g 	265.5 mbarn 
               total= 1.3324 mm2/g 	265.5 mbarn 

 List of nuclear reactions: 

                     proton + C12 --> 2 alpha + deuteron + He3:      76   Q = -25.6266 MeV
                       proton + C12 --> 2 deuteron + He3 + Li6:       1   Q = -47.9998 MeV
                     proton + C12 --> 2 neutron + N11[231.925]:       1   Q = -33.3897 MeV
                      proton + C12 --> 2 neutron + N11[39.670]:       1   Q = -33.1975 MeV
                      proton + C12 --> 2 neutron + N11[42.451]:       1   Q = -33.2002 MeV
                      proton + C12 --> 2 neutron + N11[74.944]:       1   Q = -33.2327 MeV
                  proton + C12 --> 2 proton + 2 alpha + triton:     233   Q = -27.0876 MeV
                  proton + C12 --> 2 proton + 2 deuteron + Li7:       2   Q = -48.4671 MeV
                               proton + C12 --> 2 proton + B11:      37   Q = -15.9565 MeV
                        proton + C12 --> 2 proton + B11[1.153]:       1   Q = -15.9577 MeV
                       proton + C12 --> 2 proton + B11[10.947]:       1   Q = -15.9674 MeV
                      proton + C12 --> 2 proton + B11[100.044]:       1   Q = -16.0565 MeV
                      proton + C12 --> 2 proton + B11[100.404]:       1   Q = -16.0569 MeV
                     proton + C12 --> 2 proton + B11[1056.703]:       1   Q = -17.0132 MeV
                      proton + C12 --> 2 proton + B11[107.149]:       1   Q = -16.0636 MeV
                       proton + C12 --> 2 proton + B11[11.777]:       1   Q = -15.9683 MeV
                      proton + C12 --> 2 proton + B11[110.611]:       1   Q = -16.0671 MeV
                      proton + C12 --> 2 proton + B11[113.047]:       1   Q = -16.0695 MeV
                      proton + C12 --> 2 proton + B11[117.201]:       1   Q = -16.0737 MeV
                      proton + C12 --> 2 proton + B11[125.023]:       1   Q = -16.0815 MeV
                      proton + C12 --> 2 proton + B11[125.102]:       1   Q = -16.0816 MeV
                      proton + C12 --> 2 proton + B11[132.944]:       1   Q = -16.0894 MeV
                      proton + C12 --> 2 proton + B11[135.161]:       1   Q = -16.0917 MeV
                      proton + C12 --> 2 proton + B11[135.579]:       1   Q = -16.0921 MeV
                      proton + C12 --> 2 proton + B11[138.757]:       1   Q = -16.0953 MeV
                       proton + C12 --> 2 proton + B11[14.629]:       1   Q = -15.9711 MeV
                      proton + C12 --> 2 proton + B11[141.781]:       1   Q = -16.0983 MeV
                      proton + C12 --> 2 proton + B11[146.183]:       1   Q = -16.1027 MeV
                      proton + C12 --> 2 proton + B11[157.200]:       1   Q = -16.1137 MeV
                       proton + C12 --> 2 proton + B11[17.304]:       1   Q = -15.9738 MeV
                       proton + C12 --> 2 proton + B11[17.639]:       1   Q = -15.9741 MeV
                      proton + C12 --> 2 proton + B11[178.450]:       1   Q = -16.1349 MeV
                       proton + C12 --> 2 proton + B11[18.611]:       1   Q = -15.9751 MeV
                       proton + C12 --> 2 proton + B11[18.946]:       1   Q = -15.9754 MeV
                      proton + C12 --> 2 proton + B11[182.877]:       1   Q = -16.1394 MeV
                      proton + C12 --> 2 proton + B11[193.117]:       1   Q = -16.1496 MeV
                      proton + C12 --> 2 proton + B11[195.678]:       1   Q = -16.1522 MeV
                      proton + C12 --> 2 proton + B11[197.157]:       1   Q = -16.1537 MeV
                        proton + C12 --> 2 proton + B11[2.666]:       1   Q = -15.9592 MeV
                       proton + C12 --> 2 proton + B11[20.276]:       1   Q = -15.9768 MeV
                       proton + C12 --> 2 proton + B11[20.363]:       1   Q = -15.9769 MeV
                      proton + C12 --> 2 proton + B11[203.907]:       1   Q = -16.1604 MeV
                      proton + C12 --> 2 proton + B11[205.586]:       1   Q = -16.1621 MeV
                      proton + C12 --> 2 proton + B11[205.696]:       1   Q = -16.1622 MeV
                      proton + C12 --> 2 proton + B11[215.150]:       1   Q = -16.1716 MeV
                      proton + C12 --> 2 proton + B11[217.988]:       1   Q = -16.1745 MeV
                      proton + C12 --> 2 proton + B11[222.246]:       1   Q = -16.1787 MeV
                      proton + C12 --> 2 proton + B11[222.308]:       1   Q = -16.1788 MeV
                      proton + C12 --> 2 proton + B11[223.670]:       1   Q = -16.1802 MeV
                       proton + C12 --> 2 proton + B11[23.760]:       1   Q = -15.9803 MeV
                      proton + C12 --> 2 proton + B11[249.519]:       1   Q = -16.206 MeV
                      proton + C12 --> 2 proton + B11[254.185]:       1   Q = -16.2107 MeV
                      proton + C12 --> 2 proton + B11[263.879]:       1   Q = -16.2204 MeV
                      proton + C12 --> 2 proton + B11[265.115]:       1   Q = -16.2216 MeV
                      proton + C12 --> 2 proton + B11[273.834]:       1   Q = -16.2303 MeV
                       proton + C12 --> 2 proton + B11[28.016]:       1   Q = -15.9845 MeV
                       proton + C12 --> 2 proton + B11[28.968]:       1   Q = -15.9855 MeV
                      proton + C12 --> 2 proton + B11[286.667]:       1   Q = -16.2432 MeV
                      proton + C12 --> 2 proton + B11[294.243]:       1   Q = -16.2507 MeV
                      proton + C12 --> 2 proton + B11[296.093]:       1   Q = -16.2526 MeV
                      proton + C12 --> 2 proton + B11[296.796]:       1   Q = -16.2533 MeV
                      proton + C12 --> 2 proton + B11[305.376]:       1   Q = -16.2619 MeV
                      proton + C12 --> 2 proton + B11[319.933]:       1   Q = -16.2764 MeV
                      proton + C12 --> 2 proton + B11[328.493]:       1   Q = -16.285 MeV
                      proton + C12 --> 2 proton + B11[328.820]:       1   Q = -16.2853 MeV
                       proton + C12 --> 2 proton + B11[34.301]:       1   Q = -15.9908 MeV
                       proton + C12 --> 2 proton + B11[34.466]:       1   Q = -15.991 MeV
                      proton + C12 --> 2 proton + B11[343.978]:       1   Q = -16.3005 MeV
                      proton + C12 --> 2 proton + B11[347.331]:       1   Q = -16.3038 MeV
                      proton + C12 --> 2 proton + B11[353.195]:       1   Q = -16.3097 MeV
                       proton + C12 --> 2 proton + B11[36.152]:       1   Q = -15.9926 MeV
                      proton + C12 --> 2 proton + B11[382.956]:       1   Q = -16.3395 MeV
                      proton + C12 --> 2 proton + B11[385.412]:       1   Q = -16.3419 MeV
                       proton + C12 --> 2 proton + B11[39.833]:       1   Q = -15.9963 MeV
                      proton + C12 --> 2 proton + B11[395.950]:       1   Q = -16.3524 MeV
                      proton + C12 --> 2 proton + B11[399.587]:       1   Q = -16.3561 MeV
                        proton + C12 --> 2 proton + B11[4.572]:       1   Q = -15.9611 MeV
                      proton + C12 --> 2 proton + B11[401.135]:       1   Q = -16.3576 MeV
                      proton + C12 --> 2 proton + B11[409.722]:       1   Q = -16.3662 MeV
                      proton + C12 --> 2 proton + B11[418.540]:       1   Q = -16.375 MeV
                      proton + C12 --> 2 proton + B11[433.598]:       1   Q = -16.3901 MeV
                      proton + C12 --> 2 proton + B11[454.599]:       1   Q = -16.4111 MeV
                      proton + C12 --> 2 proton + B11[459.490]:       1   Q = -16.416 MeV
                      proton + C12 --> 2 proton + B11[459.778]:       1   Q = -16.4163 MeV
                      proton + C12 --> 2 proton + B11[468.314]:       1   Q = -16.4248 MeV
                       proton + C12 --> 2 proton + B11[47.046]:       1   Q = -16.0035 MeV
                       proton + C12 --> 2 proton + B11[47.381]:       1   Q = -16.0039 MeV
                      proton + C12 --> 2 proton + B11[470.898]:       1   Q = -16.4274 MeV
                      proton + C12 --> 2 proton + B11[475.642]:       1   Q = -16.4321 MeV
                      proton + C12 --> 2 proton + B11[505.446]:       1   Q = -16.4619 MeV
                      proton + C12 --> 2 proton + B11[511.296]:       1   Q = -16.4678 MeV
                      proton + C12 --> 2 proton + B11[523.132]:       1   Q = -16.4796 MeV
                       proton + C12 --> 2 proton + B11[53.029]:       1   Q = -16.0095 MeV
                      proton + C12 --> 2 proton + B11[564.807]:       1   Q = -16.5213 MeV
                      proton + C12 --> 2 proton + B11[570.924]:       1   Q = -16.5274 MeV
                      proton + C12 --> 2 proton + B11[571.580]:       1   Q = -16.5281 MeV
                      proton + C12 --> 2 proton + B11[571.785]:       1   Q = -16.5283 MeV
                       proton + C12 --> 2 proton + B11[58.514]:       1   Q = -16.015 MeV
                      proton + C12 --> 2 proton + B11[591.577]:       1   Q = -16.5481 MeV
                       proton + C12 --> 2 proton + B11[60.096]:       1   Q = -16.0166 MeV
                       proton + C12 --> 2 proton + B11[60.933]:       1   Q = -16.0174 MeV
                      proton + C12 --> 2 proton + B11[600.835]:       1   Q = -16.5573 MeV
                      proton + C12 --> 2 proton + B11[601.954]:       1   Q = -16.5585 MeV
                       proton + C12 --> 2 proton + B11[62.107]:       1   Q = -16.0186 MeV
                      proton + C12 --> 2 proton + B11[628.891]:       1   Q = -16.5854 MeV
                      proton + C12 --> 2 proton + B11[640.876]:       1   Q = -16.5974 MeV
                      proton + C12 --> 2 proton + B11[643.365]:       1   Q = -16.5999 MeV
                       proton + C12 --> 2 proton + B11[65.054]:       1   Q = -16.0216 MeV
                       proton + C12 --> 2 proton + B11[65.984]:       1   Q = -16.0225 MeV
                      proton + C12 --> 2 proton + B11[659.932]:       1   Q = -16.6164 MeV
                       proton + C12 --> 2 proton + B11[66.215]:       1   Q = -16.0227 MeV
                       proton + C12 --> 2 proton + B11[66.225]:       1   Q = -16.0227 MeV
                      proton + C12 --> 2 proton + B11[662.816]:       1   Q = -16.6193 MeV
                      proton + C12 --> 2 proton + B11[674.271]:       1   Q = -16.6308 MeV
                        proton + C12 --> 2 proton + B11[7.303]:       1   Q = -15.9638 MeV
                      proton + C12 --> 2 proton + B11[718.384]:       1   Q = -16.6749 MeV
                      proton + C12 --> 2 proton + B11[729.359]:       1   Q = -16.6859 MeV
                       proton + C12 --> 2 proton + B11[73.867]:       1   Q = -16.0304 MeV
                      proton + C12 --> 2 proton + B11[748.972]:       1   Q = -16.7055 MeV
                      proton + C12 --> 2 proton + B11[759.457]:       1   Q = -16.716 MeV
                       proton + C12 --> 2 proton + B11[76.591]:       1   Q = -16.0331 MeV
                       proton + C12 --> 2 proton + B11[76.997]:       1   Q = -16.0335 MeV
                      proton + C12 --> 2 proton + B11[761.544]:       1   Q = -16.718 MeV
                      proton + C12 --> 2 proton + B11[767.336]:       1   Q = -16.7238 MeV
                       proton + C12 --> 2 proton + B11[77.472]:       1   Q = -16.034 MeV
                      proton + C12 --> 2 proton + B11[774.160]:       1   Q = -16.7307 MeV
                      proton + C12 --> 2 proton + B11[787.235]:       1   Q = -16.7437 MeV
                      proton + C12 --> 2 proton + B11[788.715]:       1   Q = -16.7452 MeV
                      proton + C12 --> 2 proton + B11[788.779]:       1   Q = -16.7453 MeV
                      proton + C12 --> 2 proton + B11[795.024]:       1   Q = -16.7515 MeV
                      proton + C12 --> 2 proton + B11[804.818]:       1   Q = -16.7613 MeV
                      proton + C12 --> 2 proton + B11[809.175]:       1   Q = -16.7657 MeV
                       proton + C12 --> 2 proton + B11[81.704]:       1   Q = -16.0382 MeV
                       proton + C12 --> 2 proton + B11[82.450]:       1   Q = -16.0389 MeV
                      proton + C12 --> 2 proton + B11[822.043]:       1   Q = -16.7785 MeV
